id,hour,rideType,price,distance,temp,precip,atDark
edef4e1a-ba7e-4509-a2d4-15296d31ec70,8,lyft_plus,13.5,2.12,28.52,0,TRUE
b7bc70ee-1f6d-41f2-867c-0ecf99016e31,10,lyft,7,1.24,35.6,0,TRUE
bc44f493-9056-46ae-a406-85d526753347,0,lyft,16.5,4.77,32.72,0,FALSE
c8223d66-2143-4cd6-9d22-9e816be2901e,13,lyft_luxsuv,30,2.84,42.13,1,TRUE
efd15898-c7a1-4043-a8b8-4012c622f314,11,lyft_plus,13.5,1.83,43.49,1,TRUE
a7b63242-6f6f-43b1-85ce-b6b5b3d3c2c5,12,lyft_plus,13.5,1.32,36.6,0,TRUE
b46130f2-4f10-4439-991b-6642a6212595,6,lyft_premier,34,3.66,25.35,1,TRUE
ed00da10-9240-4ea9-b200-c6bfa4c1f354,22,lyft_lux,22.5,2.88,35.21,0,FALSE
1bd7c274-6d4b-4f7f-8b90-940a8170859f,19,lyft_premier,16.5,2.41,43.92,0,TRUE
4e7ac803-42a8-4e05-b8a3-b5bc5387fad5,18,lyft,11,3.13,33.51,0,TRUE
2dbf20de-5e03-4a75-af43-87df287cbce8,0,lyft_lux,42.5,4.04,33.81,0,FALSE
8de1fbcc-2124-472e-82d4-e6a5c7efac55,7,lyft_luxsuv,26,1.03,32.47,0,TRUE
442bd0e6-671c-4af9-b411-a14a339c0abb,13,lyft,11,3.24,39.8,1,TRUE
92de68c8-2951-4397-b2d4-e7b3ca3d773d,14,lyft,10.5,2.43,34.6,0,TRUE
e9526fde-8f8f-4e02-90f7-cd3958add82e,12,lyft_premier,13.5,1.04,36.49,1,TRUE
ac333fda-8f76-4616-92d0-0e9ba7b3fc5a,19,lyft,9,0.63,37.54,0,TRUE
7b1b02be-1f03-4daa-aa12-6ea6ee8b8096,3,lyft_premier,16.5,1.54,34.66,1,FALSE
e71d6fae-5625-4e2a-8d02-7484e7861016,1,lyft_luxsuv,27.5,1.5,43.06,0,FALSE
28a9f007-381a-41c0-816c-86ef1cf0c8c7,6,lyft_lux,27.5,3.02,45.58,0,TRUE
